query_id,domain,query,baseline_hallucination,hybrid_hallucination
1,Humanities,Which institutions provided the data for Digital History research?,True,True
2,Humanities,List all researchers associated with Archaeology in the SSHOC-NL.,True,True
3,Social Sciences,Identify the persistent identifiers (PIDs) for Urban Planning assets.,True,True
4,Materials Science,Identify the persistent identifiers (PIDs) for Metallurgy assets.,True,True
5,Humanities,What are the metadata standards for Archaeology in the GCN?,True,True
6,Materials Science,Identify the persistent identifiers (PIDs) for Crystallography assets.,True,False
7,Social Sciences,List all researchers associated with Demographics in the SSHOC-NL.,True,False
8,Social Sciences,Show me the FAIR quality score for Demographics datasets.,True,False
9,Social Sciences,What are the metadata standards for Public Policy in the GCN?,True,False
10,Social Sciences,Show me the FAIR quality score for Economics datasets.,True,False
11,Materials Science,Identify the persistent identifiers (PIDs) for Crystallography assets.,True,False
12,Humanities,What are the metadata standards for Literature in the GCN?,True,False
13,Materials Science,Show me the FAIR quality score for Crystallography datasets.,True,False
14,Humanities,List all researchers associated with Literature in the SSHOC-NL.,True,False
15,Social Sciences,List all researchers associated with Demographics in the SSHOC-NL.,True,False
16,Materials Science,Which institutions provided the data for Crystallography research?,True,False
17,Materials Science,Which institutions provided the data for Polymers research?,True,False
18,Materials Science,Which institutions provided the data for Crystallography research?,True,False
19,Social Sciences,List all researchers associated with Urban Planning in the SSHOC-NL.,True,False
20,Materials Science,What are the metadata standards for Crystallography in the GCN?,True,False
21,Social Sciences,List all researchers associated with Demographics in the SSHOC-NL.,True,False
22,Materials Science,Which institutions provided the data for Crystallography research?,True,False
23,Humanities,What are the metadata standards for Digital History in the GCN?,True,False
24,Humanities,Which institutions provided the data for Archaeology research?,True,False
25,Materials Science,What are the metadata standards for Crystallography in the GCN?,True,False
26,Humanities,What are the metadata standards for Literature in the GCN?,True,False
27,Humanities,What are the metadata standards for Archaeology in the GCN?,True,False
28,Humanities,Identify the persistent identifiers (PIDs) for Literature assets.,True,False
29,Materials Science,List all researchers associated with Nanomaterials in the SSHOC-NL.,False,False
30,Humanities,Identify the persistent identifiers (PIDs) for Linguistics assets.,False,False
31,Humanities,Show me the FAIR quality score for Linguistics datasets.,False,False
32,Materials Science,Which institutions provided the data for Crystallography research?,False,False
